user_id,learning_path_id,total_certifications,total_courses_assigned,average_rating,average_rating_bin
9,14,1,2,79.0,71-80
9,15,1,1,92.0,91-100
9,17,0,1,74.0,71-80
10,2,3,3,79.33,71-80
10,3,0,1,74.0,71-80
10,4,2,3,76.33,71-80
10,9,0,1,75.0,71-80
10,12,1,1,80.0,81-90
10,17,1,1,90.0,91-100
11,2,2,4,76.75,71-80
11,5,1,1,87.0,81-90
11,7,0,1,72.0,71-80
11,9,1,2,79.5,71-80
11,11,0,1,77.0,71-80
11,12,0,1,74.0,71-80
11,13,0,1,74.0,71-80
11,17,1,2,84.0,81-90
12,2,4,5,81.0,81-90
12,5,1,1,80.0,81-90
12,6,0,1,75.0,71-80
12,8,1,1,96.0,91-100
12,9,0,1,69.0,61-70
12,12,1,1,84.0,81-90
12,17,1,1,77.0,71-80
13,1,0,1,70.0,71-80
13,2,1,4,77.75,71-80
13,3,1,1,81.0,81-90
13,5,1,1,78.0,71-80
13,17,0,1,72.0,71-80
13,19,0,1,76.0,71-80
13,20,1,1,79.0,71-80
14,2,2,4,79.75,71-80
14,6,0,1,67.0,61-70
14,8,1,1,86.0,81-90
14,9,0,1,73.0,71-80
14,12,1,1,77.0,71-80
14,17,1,1,78.0,71-80
14,18,0,1,69.0,61-70
15,2,1,4,77.75,71-80
15,8,1,1,82.0,81-90
15,13,1,1,84.0,81-90
15,15,1,1,76.0,71-80
15,16,1,2,78.0,71-80
15,17,0,1,75.0,71-80
15,18,1,1,86.0,81-90
15,20,1,1,82.0,81-90
16,2,1,4,70.0,71-80
16,3,1,1,83.0,81-90
16,8,0,1,71.0,71-80
16,9,0,1,76.0,71-80
16,10,2,3,77.67,71-80
16,12,1,1,80.0,81-90
16,13,2,2,89.0,81-90
16,14,1,1,80.0,81-90
16,17,1,1,93.0,91-100
17,2,3,4,78.75,71-80
17,3,1,1,90.0,91-100
17,7,1,1,79.0,71-80
17,10,1,1,88.0,81-90
17,13,1,1,85.0,81-90
17,15,2,2,88.0,81-90
17,17,1,1,90.0,91-100
17,18,1,1,97.0,91-100
18,2,2,4,78.5,71-80
18,4,0,1,75.0,71-80
18,12,0,2,66.0,61-70
18,13,0,1,73.0,71-80
18,17,1,2,80.5,81-90
19,2,3,4,78.0,71-80
19,3,1,1,91.0,91-100
19,6,1,1,81.0,81-90
19,17,2,2,84.0,81-90
19,20,2,3,77.0,71-80
20,1,1,1,81.0,81-90
20,2,3,4,80.25,81-90
20,4,1,1,81.0,81-90
20,8,0,1,74.0,71-80
20,13,0,1,74.0,71-80
20,15,0,1,74.0,71-80
20,17,0,1,67.0,61-70
20,19,1,1,76.0,71-80
21,2,3,4,82.75,81-90
21,8,1,2,79.0,71-80
21,10,1,1,87.0,81-90
21,14,0,1,75.0,71-80
21,15,1,1,89.0,81-90
21,17,1,1,79.0,71-80
21,20,1,1,82.0,81-90
22,1,1,1,81.0,81-90
22,2,4,4,88.75,81-90
22,3,0,1,68.0,61-70
22,5,1,2,76.5,71-80
22,6,2,2,89.0,81-90
22,7,1,1,87.0,81-90
22,12,1,1,90.0,91-100
22,15,0,1,72.0,71-80
22,17,0,1,74.0,71-80
22,20,1,1,76.0,71-80
23,2,4,5,81.2,81-90
23,3,1,1,76.0,71-80
23,6,1,2,78.0,71-80
23,7,0,1,67.0,61-70
23,9,1,1,81.0,81-90
23,17,1,2,79.0,71-80
23,18,1,1,95.0,91-100
23,20,1,1,77.0,71-80
24,2,1,4,75.75,71-80
24,3,3,3,85.33,81-90
24,4,1,1,83.0,81-90
24,14,1,1,82.0,81-90
24,17,1,2,83.0,81-90
24,18,1,1,78.0,71-80
25,2,5,5,83.0,81-90
25,3,1,1,85.0,81-90
25,8,0,1,70.0,71-80
25,9,1,2,79.0,71-80
25,13,1,1,90.0,91-100
25,16,0,1,65.0,61-70
25,17,2,2,93.0,91-100
25,18,0,1,69.0,61-70
26,2,3,4,82.75,81-90
26,3,1,1,84.0,81-90
26,5,0,1,75.0,71-80
26,6,0,1,72.0,71-80
26,9,0,1,65.0,61-70
26,13,0,1,75.0,71-80
26,15,0,1,67.0,61-70
26,16,2,2,81.0,81-90
26,17,1,1,80.0,81-90
26,18,0,1,70.0,71-80
27,1,1,1,98.0,91-100
27,2,4,5,83.0,81-90
27,4,1,1,80.0,81-90
27,9,2,2,85.0,81-90
27,17,0,1,68.0,61-70
28,2,4,5,79.8,71-80
28,4,1,1,78.0,71-80
28,6,1,1,81.0,81-90
28,10,1,1,94.0,91-100
28,11,1,1,92.0,91-100
28,12,1,1,83.0,81-90
28,13,0,1,71.0,71-80
28,14,1,1,87.0,81-90
28,17,1,1,86.0,81-90
29,2,3,4,79.75,71-80
29,4,1,1,95.0,91-100
29,6,0,2,71.0,71-80
29,13,1,1,79.0,71-80
29,17,0,1,69.0,61-70
29,18,1,1,86.0,81-90
29,20,0,1,71.0,71-80
30,1,1,1,84.0,81-90
30,2,4,5,80.6,81-90
30,6,2,2,85.5,81-90
30,7,1,1,80.0,81-90
30,9,1,1,77.0,71-80
30,12,1,1,81.0,81-90
30,13,1,1,81.0,81-90
30,17,0,1,74.0,71-80
31,2,6,6,81.0,81-90
31,5,0,1,63.0,61-70
31,8,1,1,83.0,81-90
31,9,1,1,81.0,81-90
31,12,1,1,80.0,81-90
31,13,1,1,92.0,91-100
31,15,0,1,74.0,71-80
31,17,1,1,77.0,71-80
31,19,0,1,66.0,61-70
32,2,3,5,80.8,81-90
32,5,1,1,91.0,91-100
32,6,2,2,80.5,81-90
32,7,1,1,86.0,81-90
32,10,1,1,84.0,81-90
32,12,0,1,74.0,71-80
32,17,1,1,78.0,71-80
32,20,1,1,88.0,81-90
33,2,3,4,81.5,81-90
33,4,1,1,84.0,81-90
33,6,0,1,72.0,71-80
33,9,0,1,75.0,71-80
33,11,1,1,84.0,81-90
33,15,0,1,72.0,71-80
33,17,1,1,86.0,81-90
33,18,1,1,78.0,71-80
34,1,1,1,80.0,81-90
34,2,3,4,81.75,81-90
34,3,1,1,76.0,71-80
34,5,1,1,92.0,91-100
34,6,0,1,68.0,61-70
34,7,1,1,82.0,81-90
34,11,1,1,91.0,91-100
34,13,1,1,80.0,81-90
34,16,1,1,95.0,91-100
34,17,1,1,93.0,91-100
34,18,1,1,78.0,71-80
34,20,1,1,86.0,81-90
35,1,1,1,82.0,81-90
35,2,1,4,76.5,71-80
35,5,1,1,81.0,81-90
35,6,1,1,79.0,71-80
35,8,1,2,71.5,71-80
35,17,0,1,70.0,71-80
36,1,1,1,77.0,71-80
36,2,4,4,84.5,81-90
36,5,1,2,81.0,81-90
36,7,1,1,90.0,91-100
36,10,0,1,76.0,71-80
36,11,1,1,81.0,81-90
36,12,1,1,83.0,81-90
36,17,1,1,78.0,71-80
36,20,0,1,70.0,71-80
37,1,1,1,92.0,91-100
37,2,3,4,83.25,81-90
37,9,1,1,97.0,91-100
37,11,1,2,80.0,81-90
37,12,1,1,89.0,81-90
37,15,1,2,74.5,71-80
37,17,0,1,74.0,71-80
38,2,4,4,82.5,81-90
38,4,2,2,83.5,81-90
38,9,1,1,88.0,81-90
38,10,0,1,75.0,71-80
38,11,1,1,81.0,81-90
38,15,1,1,76.0,71-80
38,17,1,3,78.33,71-80
38,20,0,2,71.0,71-80
39,1,1,1,94.0,91-100
39,2,2,6,73.83,71-80
39,4,0,1,74.0,71-80
39,12,1,1,90.0,91-100
39,15,1,1,91.0,91-100
39,17,0,1,63.0,61-70
40,1,1,1,88.0,81-90
40,2,3,4,78.5,71-80
40,4,1,1,97.0,91-100
40,9,1,1,82.0,81-90
40,13,0,2,74.0,71-80
40,17,1,1,86.0,81-90
40,20,0,1,72.0,71-80
41,1,0,2,70.0,71-80
41,2,3,3,88.67,81-90
41,3,0,1,76.0,71-80
41,4,1,1,78.0,71-80
41,6,1,1,85.0,81-90
41,7,0,1,66.0,61-70
41,9,0,1,71.0,71-80
41,10,1,2,76.5,71-80
41,16,1,1,86.0,81-90
41,17,1,1,78.0,71-80
41,20,1,1,89.0,81-90
42,1,0,1,63.0,61-70
42,2,3,4,78.75,71-80
42,3,1,1,76.0,71-80
42,4,1,1,95.0,91-100
42,5,1,1,84.0,81-90
42,7,1,1,88.0,81-90
42,16,0,1,67.0,61-70
42,17,2,3,77.33,71-80
42,18,1,1,80.0,81-90
42,20,1,1,80.0,81-90
43,1,1,1,86.0,81-90
43,2,2,4,77.5,71-80
43,3,0,1,65.0,61-70
43,4,1,1,78.0,71-80
43,8,1,1,82.0,81-90
43,11,1,1,77.0,71-80
43,14,0,1,68.0,61-70
43,17,1,1,82.0,81-90
43,19,1,1,79.0,71-80
43,20,0,1,65.0,61-70
44,1,1,1,81.0,81-90
44,2,3,5,77.8,71-80
44,5,2,2,83.0,81-90
44,9,1,1,82.0,81-90
44,15,1,1,85.0,81-90
44,17,2,2,88.5,81-90
44,18,1,1,88.0,81-90
44,19,1,1,82.0,81-90
45,2,2,4,80.5,81-90
45,4,1,1,92.0,91-100
45,5,1,1,96.0,91-100
45,6,1,1,90.0,91-100
45,10,1,1,91.0,91-100
45,17,0,1,76.0,71-80
45,20,1,1,80.0,81-90
46,2,3,4,88.0,81-90
46,5,2,2,77.5,71-80
46,7,0,1,72.0,71-80
46,10,1,1,79.0,71-80
46,12,1,2,79.5,71-80
46,16,1,1,86.0,81-90
46,17,1,1,81.0,81-90
46,19,1,1,88.0,81-90
47,2,3,4,82.5,81-90
47,4,1,1,94.0,91-100
47,5,2,2,89.5,81-90
47,7,1,1,82.0,81-90
47,12,0,1,75.0,71-80
47,16,1,1,92.0,91-100
47,17,1,2,72.5,71-80
47,19,2,2,89.0,81-90
47,20,1,1,85.0,81-90
48,1,0,1,74.0,71-80
48,2,3,4,78.0,71-80
48,12,1,1,89.0,81-90
48,17,0,1,65.0,61-70
48,18,1,2,82.5,81-90
48,19,1,1,81.0,81-90
48,20,1,2,75.5,71-80
49,2,2,4,79.0,71-80
49,6,1,1,77.0,71-80
49,9,1,1,83.0,81-90
49,11,0,1,72.0,71-80
49,14,1,1,89.0,81-90
49,15,1,2,75.0,71-80
49,17,1,1,81.0,81-90
50,2,2,4,80.5,81-90
50,6,0,1,67.0,61-70
50,7,0,1,76.0,71-80
50,10,1,1,83.0,81-90
50,14,1,1,80.0,81-90
50,17,1,1,86.0,81-90
50,20,0,1,74.0,71-80
51,1,1,1,78.0,71-80
51,2,3,4,81.25,81-90
51,3,1,1,81.0,81-90
51,5,0,1,64.0,61-70
51,10,1,1,84.0,81-90
51,17,1,1,76.0,71-80
51,20,2,2,84.0,81-90
52,2,4,4,88.5,81-90
52,3,0,1,71.0,71-80
52,5,1,1,78.0,71-80
52,13,1,1,80.0,81-90
52,17,0,1,68.0,61-70
52,18,0,1,66.0,61-70
52,19,0,1,76.0,71-80
53,2,2,4,76.75,71-80
53,5,1,2,78.0,71-80
53,10,1,1,87.0,81-90
53,15,1,1,88.0,81-90
53,16,2,2,84.0,81-90
53,17,1,2,74.0,71-80
53,20,1,1,82.0,81-90
54,1,1,1,82.0,81-90
54,2,2,4,79.5,71-80
54,3,1,1,77.0,71-80
54,5,0,1,71.0,71-80
54,10,1,1,85.0,81-90
54,11,1,1,81.0,81-90
54,16,0,1,72.0,71-80
54,17,1,1,86.0,81-90
54,18,0,1,70.0,71-80
55,1,1,1,93.0,91-100
55,2,2,5,76.8,71-80
55,4,1,1,89.0,81-90
55,9,1,1,86.0,81-90
55,10,0,1,73.0,71-80
55,14,0,1,69.0,61-70
55,17,2,2,91.5,91-100
55,18,0,1,74.0,71-80
55,20,0,1,74.0,71-80
56,2,3,4,83.75,81-90
56,5,0,1,68.0,61-70
56,13,0,1,74.0,71-80
56,14,1,1,86.0,81-90
56,15,2,2,81.5,81-90
56,17,1,1,99.0,91-100
57,1,1,1,81.0,81-90
57,2,2,4,78.5,71-80
57,5,0,1,63.0,61-70
57,6,1,1,86.0,81-90
57,13,1,1,88.0,81-90
57,17,2,2,83.5,81-90
57,18,1,1,86.0,81-90
58,1,1,1,78.0,71-80
58,2,3,3,81.0,81-90
58,4,1,2,75.5,71-80
58,7,0,1,72.0,71-80
58,8,0,1,73.0,71-80
58,12,1,2,75.5,71-80
58,13,1,1,82.0,81-90
58,14,0,1,73.0,71-80
58,17,1,1,77.0,71-80
58,18,1,1,88.0,81-90
58,19,1,1,76.0,71-80
59,2,5,5,83.2,81-90
59,3,1,3,78.33,71-80
59,11,0,1,69.0,61-70
59,16,0,1,73.0,71-80
59,17,1,1,87.0,81-90
60,2,1,5,75.2,71-80
60,4,1,2,81.0,81-90
60,9,1,1,89.0,81-90
60,12,0,2,74.5,71-80
60,14,1,2,75.0,71-80
60,16,1,1,87.0,81-90
60,17,1,1,88.0,81-90
61,1,1,1,83.0,81-90
61,2,2,4,72.75,71-80
61,5,0,1,75.0,71-80
61,7,1,1,82.0,81-90
61,8,1,1,83.0,81-90
61,11,1,1,79.0,71-80
61,13,0,1,73.0,71-80
61,16,1,1,84.0,81-90
61,17,0,1,76.0,71-80
61,20,1,1,83.0,81-90
62,2,3,4,80.75,81-90
62,3,1,1,81.0,81-90
62,5,1,1,84.0,81-90
62,7,1,1,93.0,91-100
62,12,1,1,92.0,91-100
62,14,1,1,87.0,81-90
62,16,0,1,66.0,61-70
62,17,1,1,82.0,81-90
62,18,1,1,81.0,81-90
63,1,1,1,88.0,81-90
63,2,1,4,71.25,71-80
63,3,1,1,82.0,81-90
63,5,1,1,94.0,91-100
63,6,0,1,74.0,71-80
63,8,1,1,80.0,81-90
63,9,0,1,68.0,61-70
63,11,1,1,82.0,81-90
63,13,1,1,79.0,71-80
63,14,1,1,83.0,81-90
63,17,0,1,65.0,61-70
64,2,3,4,78.75,71-80
64,3,1,1,87.0,81-90
64,6,1,1,85.0,81-90
64,13,1,1,78.0,71-80
64,16,1,1,91.0,91-100
64,17,1,1,80.0,81-90
64,19,0,1,74.0,71-80
65,2,2,4,79.75,71-80
65,4,1,1,89.0,81-90
65,6,1,1,76.0,71-80
65,8,1,2,73.0,71-80
65,9,1,1,78.0,71-80
65,10,1,1,79.0,71-80
65,12,1,1,88.0,81-90
65,13,0,1,64.0,61-70
65,17,1,1,80.0,81-90
65,18,1,1,90.0,91-100
65,19,1,1,91.0,91-100
66,1,0,2,74.0,71-80
66,2,2,5,80.0,81-90
66,7,1,1,90.0,91-100
66,8,0,1,71.0,71-80
66,13,1,1,80.0,81-90
66,14,1,1,91.0,91-100
66,17,1,1,83.0,81-90
66,18,1,1,89.0,81-90
67,2,4,4,83.75,81-90
67,5,1,1,93.0,91-100
67,8,1,1,77.0,71-80
67,11,0,1,72.0,71-80
67,17,1,2,77.0,71-80
67,20,0,1,76.0,71-80
68,2,3,4,79.25,71-80
68,5,1,1,94.0,91-100
68,11,0,2,73.5,71-80
68,12,1,1,83.0,81-90
68,13,1,1,81.0,81-90
68,14,0,2,72.5,71-80
68,17,1,2,74.5,71-80
68,18,0,1,71.0,71-80
69,2,4,5,81.8,81-90
69,4,1,2,74.5,71-80
69,9,2,2,78.5,71-80
69,13,1,1,82.0,81-90
69,14,1,2,76.5,71-80
69,16,1,1,86.0,81-90
69,17,1,2,78.5,71-80
70,2,3,4,81.5,81-90
70,4,1,1,86.0,81-90
70,6,1,1,79.0,71-80
70,8,1,2,78.5,71-80
70,11,1,2,77.5,71-80
70,14,1,1,88.0,81-90
70,17,1,1,88.0,81-90
70,18,0,1,70.0,71-80
71,1,0,1,71.0,71-80
71,2,2,5,76.0,71-80
71,3,2,3,77.33,71-80
71,5,1,1,93.0,91-100
71,7,0,1,74.0,71-80
71,15,1,1,80.0,81-90
71,17,0,1,71.0,71-80
71,20,1,1,81.0,81-90
72,2,1,4,75.75,71-80
72,3,1,2,75.0,71-80
72,5,2,2,84.0,81-90
72,6,1,1,76.0,71-80
72,8,1,1,79.0,71-80
72,17,2,2,84.0,81-90
72,19,1,1,86.0,81-90
72,20,0,1,72.0,71-80
73,2,2,4,77.75,71-80
73,4,0,1,76.0,71-80
73,6,1,1,90.0,91-100
73,7,1,1,85.0,81-90
73,11,0,1,72.0,71-80
73,12,1,2,79.5,71-80
73,15,0,1,70.0,71-80
73,16,0,1,74.0,71-80
73,17,2,2,84.5,81-90
73,19,1,1,80.0,81-90
74,2,2,4,74.75,71-80
74,3,1,1,91.0,91-100
74,7,1,1,84.0,81-90
74,8,2,2,85.5,81-90
74,10,0,1,72.0,71-80
74,13,1,1,80.0,81-90
74,17,1,1,79.0,71-80
74,18,1,1,79.0,71-80
74,19,1,1,79.0,71-80
74,20,1,1,85.0,81-90
75,2,3,4,85.25,81-90
75,4,1,1,79.0,71-80
75,5,0,1,69.0,61-70
75,7,1,1,83.0,81-90
75,11,0,1,68.0,61-70
75,13,0,1,69.0,61-70
75,16,1,1,94.0,91-100
75,17,1,1,85.0,81-90
75,18,1,1,82.0,81-90
76,2,3,4,84.25,81-90
76,9,1,1,85.0,81-90
76,14,1,1,80.0,81-90
76,17,1,1,81.0,81-90
76,19,1,1,85.0,81-90
76,20,2,3,74.33,71-80
77,1,0,2,70.5,71-80
77,2,3,4,78.5,71-80
77,7,1,2,80.5,81-90
77,8,1,3,81.67,81-90
77,12,0,1,77.0,71-80
77,17,1,2,78.5,71-80
77,19,0,1,72.0,71-80
78,1,1,1,78.0,71-80
78,2,4,5,80.0,81-90
78,9,0,1,68.0,61-70
78,10,1,1,80.0,81-90
78,12,1,1,87.0,81-90
78,13,0,1,71.0,71-80
78,16,1,1,82.0,81-90
78,17,1,1,78.0,71-80
78,18,0,1,71.0,71-80
78,20,1,2,79.0,71-80
79,1,1,1,78.0,71-80
79,2,4,4,86.5,81-90
79,3,1,1,82.0,81-90
79,7,2,2,88.0,81-90
79,8,0,1,67.0,61-70
79,10,1,1,89.0,81-90
79,13,1,2,73.5,71-80
79,15,1,1,81.0,81-90
79,17,0,1,66.0,61-70
79,18,1,1,78.0,71-80
80,1,1,1,82.0,81-90
80,2,3,4,85.25,81-90
80,3,0,1,74.0,71-80
80,7,1,2,73.5,71-80
80,15,1,1,78.0,71-80
80,17,1,2,72.0,71-80
80,20,1,1,86.0,81-90
81,2,4,4,84.5,81-90
81,3,0,1,65.0,61-70
81,6,1,1,92.0,91-100
81,7,0,1,74.0,71-80
81,13,1,1,82.0,81-90
81,16,0,1,70.0,71-80
81,17,2,2,80.5,81-90
81,18,1,1,86.0,81-90
82,2,3,4,75.75,71-80
82,3,1,1,79.0,71-80
82,4,1,1,82.0,81-90
82,11,1,1,88.0,81-90
82,13,1,1,81.0,81-90
82,16,1,2,74.5,71-80
82,17,1,1,75.0,71-80
83,2,3,4,85.0,81-90
83,8,1,1,84.0,81-90
83,12,0,1,76.0,71-80
83,13,2,2,82.0,81-90
83,14,1,1,89.0,81-90
83,17,1,1,80.0,81-90
83,19,0,1,73.0,71-80
84,2,2,4,74.25,71-80
84,3,1,1,88.0,81-90
84,6,1,1,84.0,81-90
84,12,1,1,77.0,71-80
84,16,2,2,90.5,91-100
84,17,1,1,77.0,71-80
84,18,1,1,80.0,81-90
84,20,0,1,75.0,71-80
85,2,3,4,81.25,81-90
85,3,1,1,82.0,81-90
85,5,1,1,78.0,71-80
85,7,1,1,78.0,71-80
85,9,0,1,65.0,61-70
85,12,1,1,79.0,71-80
85,13,0,1,74.0,71-80
85,15,1,1,83.0,81-90
85,17,1,1,78.0,71-80
86,1,0,1,73.0,71-80
86,2,3,4,81.0,81-90
86,7,1,1,78.0,71-80
86,9,0,1,77.0,71-80
86,11,1,1,85.0,81-90
86,17,0,1,73.0,71-80
86,20,0,1,76.0,71-80
87,1,0,1,69.0,61-70
87,2,2,3,80.67,81-90
87,4,1,1,90.0,91-100
87,10,1,1,87.0,81-90
87,11,1,1,81.0,81-90
87,17,1,1,79.0,71-80
87,18,1,1,78.0,71-80
87,19,0,1,63.0,61-70
88,2,4,5,82.2,81-90
88,5,0,2,72.5,71-80
88,7,1,1,76.0,71-80
88,11,1,1,83.0,81-90
88,15,1,1,81.0,81-90
88,16,1,1,90.0,91-100
88,17,1,1,83.0,81-90
88,19,1,1,79.0,71-80
89,1,1,1,85.0,81-90
89,2,4,4,83.25,81-90
89,10,1,1,89.0,81-90
89,11,0,1,69.0,61-70
89,16,1,1,89.0,81-90
89,17,1,1,85.0,81-90
89,20,1,1,92.0,91-100
90,1,1,1,89.0,81-90
90,2,3,4,77.5,71-80
90,4,0,1,74.0,71-80
90,8,1,1,83.0,81-90
90,10,0,1,74.0,71-80
90,15,1,1,83.0,81-90
90,16,2,2,88.5,81-90
90,17,2,2,84.0,81-90
90,20,0,1,74.0,71-80
91,2,4,5,81.2,81-90
91,7,0,1,70.0,71-80
91,8,0,1,72.0,71-80
91,9,1,1,92.0,91-100
91,12,0,1,70.0,71-80
91,14,1,1,94.0,91-100
91,17,2,2,86.5,81-90
91,19,1,1,83.0,81-90
91,20,0,1,68.0,61-70
92,2,4,4,85.25,81-90
92,6,0,1,73.0,71-80
92,7,1,1,83.0,81-90
92,9,0,1,73.0,71-80
92,12,1,2,79.5,71-80
92,17,1,1,93.0,91-100
93,2,2,5,78.4,71-80
93,6,1,1,87.0,81-90
93,7,1,1,86.0,81-90
93,12,1,1,86.0,81-90
93,13,1,1,86.0,81-90
93,17,1,1,84.0,81-90
94,2,4,5,85.0,81-90
94,13,2,2,82.5,81-90
94,17,2,2,77.0,71-80
94,19,1,1,86.0,81-90
95,2,3,4,81.25,81-90
95,4,1,2,83.0,81-90
95,5,1,1,79.0,71-80
95,6,1,1,82.0,81-90
95,8,0,1,76.0,71-80
95,10,1,1,84.0,81-90
95,12,1,1,91.0,91-100
95,13,0,1,76.0,71-80
95,15,1,1,88.0,81-90
95,17,0,1,70.0,71-80
95,18,0,1,73.0,71-80
96,2,5,5,86.8,81-90
96,4,0,1,64.0,61-70
96,5,0,1,66.0,61-70
96,9,1,1,93.0,91-100
96,10,1,1,78.0,71-80
96,13,1,1,86.0,81-90
96,14,1,1,86.0,81-90
96,17,1,1,83.0,81-90
96,20,1,1,93.0,91-100
97,1,0,1,76.0,71-80
97,2,2,5,74.6,71-80
97,5,1,1,96.0,91-100
97,10,1,1,78.0,71-80
97,12,0,1,71.0,71-80
97,17,1,1,92.0,91-100
97,20,0,1,69.0,61-70
98,1,1,1,87.0,81-90
98,2,2,4,76.0,71-80
98,4,0,1,68.0,61-70
98,5,1,1,78.0,71-80
98,11,0,1,65.0,61-70
98,17,1,1,82.0,81-90
98,20,1,1,80.0,81-90
99,2,2,4,77.0,71-80
99,6,1,1,81.0,81-90
99,7,1,1,80.0,81-90
99,9,0,2,66.0,61-70
99,10,0,1,72.0,71-80
99,15,1,1,83.0,81-90
99,16,1,1,92.0,91-100
99,17,0,1,70.0,71-80
99,20,1,1,80.0,81-90
100,1,1,1,80.0,81-90
100,2,1,3,72.67,71-80
100,5,2,2,84.5,81-90
100,6,1,2,80.0,81-90
100,7,1,2,79.0,71-80
100,17,1,1,83.0,81-90
101,2,1,4,79.25,71-80
101,6,0,1,71.0,71-80
101,9,1,1,78.0,71-80
101,12,0,1,72.0,71-80
101,15,0,1,74.0,71-80
101,17,1,1,77.0,71-80
101,18,1,1,85.0,81-90
101,20,0,1,73.0,71-80
102,2,2,4,77.0,71-80
102,3,0,1,66.0,61-70
102,5,0,1,65.0,61-70
102,6,1,1,81.0,81-90
102,13,0,1,69.0,61-70
102,15,0,1,77.0,71-80
102,17,1,1,86.0,81-90
102,18,1,2,77.0,71-80
102,19,1,1,77.0,71-80
103,2,1,4,76.75,71-80
103,3,0,1,73.0,71-80
103,8,1,1,75.0,71-80
103,12,1,1,79.0,71-80
103,14,0,2,72.5,71-80
103,17,0,1,69.0,61-70
103,19,0,1,68.0,61-70
103,20,1,1,79.0,71-80
104,2,4,4,87.75,81-90
104,3,0,1,76.0,71-80
104,7,0,1,65.0,61-70
104,12,1,1,79.0,71-80
104,14,0,1,71.0,71-80
104,16,0,1,74.0,71-80
104,17,0,1,67.0,61-70
104,20,1,1,89.0,81-90
105,2,1,4,75.75,71-80
105,7,1,1,79.0,71-80
105,8,1,1,78.0,71-80
105,11,1,1,83.0,81-90
105,16,2,2,86.0,81-90
105,17,1,1,88.0,81-90
106,1,2,2,85.0,81-90
106,2,3,4,81.5,81-90
106,9,0,1,74.0,71-80
106,14,2,2,88.0,81-90
106,16,1,1,95.0,91-100
106,17,1,1,87.0,81-90
106,20,1,1,84.0,81-90
107,1,0,1,76.0,71-80
107,2,4,4,87.0,81-90
107,4,1,1,83.0,81-90
107,5,1,1,80.0,81-90
107,7,0,1,64.0,61-70
107,8,1,1,85.0,81-90
107,12,1,2,83.5,81-90
107,15,1,1,89.0,81-90
107,17,1,1,82.0,81-90
108,2,2,5,76.2,71-80
108,4,0,1,76.0,71-80
108,6,1,1,86.0,81-90
108,7,1,1,77.0,71-80
108,10,1,1,87.0,81-90
108,12,1,1,88.0,81-90
108,13,1,1,88.0,81-90
108,17,0,1,74.0,71-80
108,18,1,1,91.0,91-100
108,19,1,2,82.5,81-90
109,2,4,5,79.0,71-80
109,6,1,1,97.0,91-100
109,15,1,1,87.0,81-90
109,16,2,2,78.5,71-80
109,17,1,1,89.0,81-90
110,2,2,4,73.0,71-80
110,3,2,2,80.0,81-90
110,4,2,3,80.33,81-90
110,5,0,1,73.0,71-80
110,10,1,1,77.0,71-80
110,12,1,1,81.0,81-90
110,14,0,1,73.0,71-80
110,17,1,1,77.0,71-80
110,19,1,1,83.0,81-90
111,1,2,2,78.0,71-80
111,2,3,4,80.25,81-90
111,4,1,2,77.0,71-80
111,6,1,1,84.0,81-90
111,11,0,1,74.0,71-80
111,13,3,3,85.0,81-90
111,17,0,1,76.0,71-80
