user_id,learning_path_id,total_certifications,total_courses_assigned,average_rating
23,17,1,2,79.0
23,18,1,1,95.0
23,20,1,1,77.0
24,2,1,4,75.75
24,3,3,3,85.33
24,4,1,1,83.0
24,14,1,1,82.0
24,17,1,2,83.0
24,18,1,1,78.0
25,2,5,5,83.0
25,3,1,1,85.0
25,8,0,1,70.0
25,9,1,2,79.0
25,13,1,1,90.0
25,16,0,1,65.0
25,17,2,2,93.0
25,18,0,1,69.0
26,2,3,4,82.75
26,3,1,1,84.0
26,5,0,1,75.0
26,6,0,1,72.0
26,9,0,1,65.0
26,13,0,1,75.0
26,15,0,1,67.0
26,16,2,2,81.0
26,17,1,1,80.0
26,18,0,1,70.0
27,1,1,1,98.0
27,2,4,5,83.0
27,4,1,1,80.0
27,9,2,2,85.0
27,17,0,1,68.0
28,2,4,5,79.8
28,4,1,1,78.0
28,6,1,1,81.0
28,10,1,1,94.0
28,11,1,1,92.0
28,12,1,1,83.0
28,13,0,1,71.0
28,14,1,1,87.0
28,17,1,1,86.0
29,2,3,4,79.75
29,4,1,1,95.0
29,6,0,2,71.0
29,13,1,1,79.0
29,17,0,1,69.0
29,18,1,1,86.0
29,20,0,1,71.0
30,1,1,1,84.0
30,2,4,5,80.6
30,6,2,2,85.5
30,7,1,1,80.0
30,9,1,1,77.0
30,12,1,1,81.0
30,13,1,1,81.0
30,17,0,1,74.0
31,2,6,6,81.0
31,5,0,1,63.0
31,8,1,1,83.0
31,9,1,1,81.0
31,12,1,1,80.0
31,13,1,1,92.0
31,15,0,1,74.0
31,17,1,1,77.0
31,19,0,1,66.0
32,2,3,5,80.8
32,5,1,1,91.0
32,6,2,2,80.5
32,7,1,1,86.0
32,10,1,1,84.0
32,12,0,1,74.0
32,17,1,1,78.0
32,20,1,1,88.0
33,2,3,4,81.5
33,4,1,1,84.0
33,6,0,1,72.0
33,9,0,1,75.0
33,11,1,1,84.0
33,15,0,1,72.0
33,17,1,1,86.0
33,18,1,1,78.0
34,1,1,1,80.0
34,2,3,4,81.75
34,3,1,1,76.0
34,5,1,1,92.0
34,6,0,1,68.0
34,7,1,1,82.0
34,11,1,1,91.0
34,13,1,1,80.0
34,16,1,1,95.0
34,17,1,1,93.0
34,18,1,1,78.0
34,20,1,1,86.0
35,1,1,1,82.0
35,2,1,4,76.5
35,5,1,1,81.0
35,6,1,1,79.0
35,8,1,2,71.5
35,17,0,1,70.0
36,1,1,1,77.0
36,2,4,4,84.5
36,5,1,2,81.0
36,7,1,1,90.0
36,10,0,1,76.0
36,11,1,1,81.0
36,12,1,1,83.0
36,17,1,1,78.0
36,20,0,1,70.0
37,1,1,1,92.0
37,2,3,4,83.25
37,9,1,1,97.0
37,11,1,2,80.0
37,12,1,1,89.0
37,15,1,2,74.5
37,17,0,1,74.0
38,2,4,4,82.5
38,4,2,2,83.5
38,9,1,1,88.0
38,10,0,1,75.0
38,11,1,1,81.0
38,15,1,1,76.0
38,17,1,3,78.33
38,20,0,2,71.0
39,1,1,1,94.0
39,2,2,6,73.83
39,4,0,1,74.0
39,12,1,1,90.0
39,15,1,1,91.0
39,17,0,1,63.0
40,1,1,1,88.0
40,2,3,4,78.5
40,4,1,1,97.0
40,9,1,1,82.0
40,13,0,2,74.0
40,17,1,1,86.0
40,20,0,1,72.0
41,1,0,2,70.0
41,2,3,3,88.67
41,3,0,1,76.0
41,4,1,1,78.0
41,6,1,1,85.0
41,7,0,1,66.0
41,9,0,1,71.0
41,10,1,2,76.5
41,16,1,1,86.0
41,17,1,1,78.0
41,20,1,1,89.0
42,1,0,1,63.0
42,2,3,4,78.75
42,3,1,1,76.0
42,4,1,1,95.0
42,5,1,1,84.0
42,7,1,1,88.0
42,16,0,1,67.0
42,17,2,3,77.33
42,18,1,1,80.0
42,20,1,1,80.0
43,1,1,1,86.0
43,2,2,4,77.5
43,3,0,1,65.0
43,4,1,1,78.0
43,8,1,1,82.0
43,11,1,1,77.0
43,14,0,1,68.0
43,17,1,1,82.0
43,19,1,1,79.0
43,20,0,1,65.0
44,1,1,1,81.0
44,2,3,5,77.8
44,5,2,2,83.0
44,9,1,1,82.0
44,15,1,1,85.0
44,17,2,2,88.5
44,18,1,1,88.0
44,19,1,1,82.0
45,2,2,4,80.5
45,4,1,1,92.0
45,5,1,1,96.0
45,6,1,1,90.0
45,10,1,1,91.0
45,17,0,1,76.0
45,20,1,1,80.0
46,2,3,4,88.0
46,5,2,2,77.5
46,7,0,1,72.0
46,10,1,1,79.0
46,12,1,2,79.5
46,16,1,1,86.0
46,17,1,1,81.0
46,19,1,1,88.0
47,2,3,4,82.5
47,4,1,1,94.0
47,5,2,2,89.5
47,7,1,1,82.0
47,12,0,1,75.0
47,16,1,1,92.0
47,17,1,2,72.5
47,19,2,2,89.0
47,20,1,1,85.0
48,1,0,1,74.0
48,2,3,4,78.0
48,12,1,1,89.0
48,17,0,1,65.0
48,18,1,2,82.5
48,19,1,1,81.0
48,20,1,2,75.5
49,2,2,4,79.0
49,6,1,1,77.0
49,9,1,1,83.0
49,11,0,1,72.0
49,14,1,1,89.0
49,15,1,2,75.0
49,17,1,1,81.0
50,2,2,4,80.5
50,6,0,1,67.0
50,7,0,1,76.0
50,10,1,1,83.0
50,14,1,1,80.0
50,17,1,1,86.0
50,20,0,1,74.0
51,1,1,1,78.0
51,2,3,4,81.25
51,3,1,1,81.0
51,5,0,1,64.0
51,10,1,1,84.0
51,17,1,1,76.0
51,20,2,2,84.0
52,2,4,4,88.5
52,3,0,1,71.0
52,5,1,1,78.0
52,13,1,1,80.0
52,17,0,1,68.0
52,18,0,1,66.0
52,19,0,1,76.0
53,2,2,4,76.75
53,5,1,2,78.0
53,10,1,1,87.0
53,15,1,1,88.0
53,16,2,2,84.0
53,17,1,2,74.0
53,20,1,1,82.0
54,1,1,1,82.0
54,2,2,4,79.5
54,3,1,1,77.0
54,5,0,1,71.0
54,10,1,1,85.0
54,11,1,1,81.0
54,16,0,1,72.0
54,17,1,1,86.0
54,18,0,1,70.0
55,1,1,1,93.0
55,2,2,5,76.8
55,4,1,1,89.0
55,9,1,1,86.0
55,10,0,1,73.0
55,14,0,1,69.0
55,17,2,2,91.5
55,18,0,1,74.0
55,20,0,1,74.0
56,2,3,4,83.75
56,5,0,1,68.0
56,13,0,1,74.0
56,14,1,1,86.0
56,15,2,2,81.5
56,17,1,1,99.0
57,1,1,1,81.0
57,2,2,4,78.5
57,5,0,1,63.0
57,6,1,1,86.0
57,13,1,1,88.0
57,17,2,2,83.5
57,18,1,1,86.0
58,1,1,1,78.0
58,2,3,3,81.0
58,4,1,2,75.5
58,7,0,1,72.0
58,8,0,1,73.0
58,12,1,2,75.5
58,13,1,1,82.0
58,14,0,1,73.0
58,17,1,1,77.0
58,18,1,1,88.0
58,19,1,1,76.0
59,2,5,5,83.2
59,3,1,3,78.33
59,11,0,1,69.0
59,16,0,1,73.0
59,17,1,1,87.0
60,2,1,5,75.2
60,4,1,2,81.0
60,9,1,1,89.0
60,12,0,2,74.5
60,14,1,2,75.0
60,16,1,1,87.0
60,17,1,1,88.0
61,1,1,1,83.0
61,2,2,4,72.75
61,5,0,1,75.0
61,7,1,1,82.0
61,8,1,1,83.0
61,11,1,1,79.0
61,13,0,1,73.0
61,16,1,1,84.0
61,17,0,1,76.0
61,20,1,1,83.0
62,2,3,4,80.75
62,3,1,1,81.0
62,5,1,1,84.0
62,7,1,1,93.0
62,12,1,1,92.0
62,14,1,1,87.0
62,16,0,1,66.0
62,17,1,1,82.0
62,18,1,1,81.0
63,1,1,1,88.0
63,2,1,4,71.25
63,3,1,1,82.0
63,5,1,1,94.0
63,6,0,1,74.0
63,8,1,1,80.0
63,9,0,1,68.0
63,11,1,1,82.0
63,13,1,1,79.0
63,14,1,1,83.0
63,17,0,1,65.0
64,2,3,4,78.75
64,3,1,1,87.0
64,6,1,1,85.0
64,13,1,1,78.0
64,16,1,1,91.0
64,17,1,1,80.0
64,19,0,1,74.0
65,2,2,4,79.75
65,4,1,1,89.0
65,6,1,1,76.0
65,8,1,2,73.0
65,9,1,1,78.0
65,10,1,1,79.0
65,12,1,1,88.0
65,13,0,1,64.0
65,17,1,1,80.0
65,18,1,1,90.0
65,19,1,1,91.0
66,1,0,2,74.0
66,2,2,5,80.0
66,7,1,1,90.0
66,8,0,1,71.0
66,13,1,1,80.0
66,14,1,1,91.0
66,17,1,1,83.0
66,18,1,1,89.0
67,2,4,4,83.75
67,5,1,1,93.0
67,8,1,1,77.0
67,11,0,1,72.0
67,17,1,2,77.0
67,20,0,1,76.0
68,2,3,4,79.25
68,5,1,1,94.0
68,11,0,2,73.5
68,12,1,1,83.0
68,13,1,1,81.0
68,14,0,2,72.5
68,17,1,2,74.5
68,18,0,1,71.0
69,2,4,5,81.8
69,4,1,2,74.5
69,9,2,2,78.5
69,13,1,1,82.0
69,14,1,2,76.5
69,16,1,1,86.0
69,17,1,2,78.5
70,2,3,4,81.5
70,4,1,1,86.0
70,6,1,1,79.0
70,8,1,2,78.5
70,11,1,2,77.5
70,14,1,1,88.0
70,17,1,1,88.0
70,18,0,1,70.0
71,1,0,1,71.0
71,2,2,5,76.0
71,3,2,3,77.33
71,5,1,1,93.0
71,7,0,1,74.0
71,15,1,1,80.0
71,17,0,1,71.0
71,20,1,1,81.0
72,2,1,4,75.75
72,3,1,2,75.0
72,5,2,2,84.0
72,6,1,1,76.0
72,8,1,1,79.0
72,17,2,2,84.0
72,19,1,1,86.0
72,20,0,1,72.0
73,2,2,4,77.75
73,4,0,1,76.0
73,6,1,1,90.0
73,7,1,1,85.0
73,11,0,1,72.0
73,12,1,2,79.5
73,15,0,1,70.0
73,16,0,1,74.0
73,17,2,2,84.5
73,19,1,1,80.0
74,2,2,4,74.75
74,3,1,1,91.0
74,7,1,1,84.0
74,8,2,2,85.5
74,10,0,1,72.0
74,13,1,1,80.0
74,17,1,1,79.0
74,18,1,1,79.0
74,19,1,1,79.0
74,20,1,1,85.0
75,2,3,4,85.25
75,4,1,1,79.0
75,5,0,1,69.0
75,7,1,1,83.0
75,11,0,1,68.0
75,13,0,1,69.0
75,16,1,1,94.0
75,17,1,1,85.0
75,18,1,1,82.0
76,2,3,4,84.25
76,9,1,1,85.0
76,14,1,1,80.0
76,17,1,1,81.0
76,19,1,1,85.0
76,20,2,3,74.33
77,1,0,2,70.5
77,2,3,4,78.5
77,7,1,2,80.5
77,8,1,3,81.67
77,12,0,1,77.0
77,17,1,2,78.5
77,19,0,1,72.0
78,1,1,1,78.0
78,2,4,5,80.0
78,9,0,1,68.0
78,10,1,1,80.0
78,12,1,1,87.0
78,13,0,1,71.0
78,16,1,1,82.0
78,17,1,1,78.0
78,18,0,1,71.0
78,20,1,2,79.0
79,1,1,1,78.0
79,2,4,4,86.5
79,3,1,1,82.0
79,7,2,2,88.0
79,8,0,1,67.0
79,10,1,1,89.0
79,13,1,2,73.5
79,15,1,1,81.0
79,17,0,1,66.0
79,18,1,1,78.0
80,1,1,1,82.0
80,2,3,4,85.25
80,3,0,1,74.0
80,7,1,2,73.5
80,15,1,1,78.0
80,17,1,2,72.0
80,20,1,1,86.0
81,2,4,4,84.5
81,3,0,1,65.0
81,6,1,1,92.0
81,7,0,1,74.0
81,13,1,1,82.0
81,16,0,1,70.0
81,17,2,2,80.5
81,18,1,1,86.0
82,2,3,4,75.75
82,3,1,1,79.0
82,4,1,1,82.0
82,11,1,1,88.0
82,13,1,1,81.0
82,16,1,2,74.5
82,17,1,1,75.0
83,2,3,4,85.0
83,8,1,1,84.0
83,12,0,1,76.0
83,13,2,2,82.0
83,14,1,1,89.0
83,17,1,1,80.0
83,19,0,1,73.0
84,2,2,4,74.25
84,3,1,1,88.0
84,6,1,1,84.0
84,12,1,1,77.0
84,16,2,2,90.5
84,17,1,1,77.0
84,18,1,1,80.0
84,20,0,1,75.0
85,2,3,4,81.25
85,3,1,1,82.0
85,5,1,1,78.0
85,7,1,1,78.0
85,9,0,1,65.0
85,12,1,1,79.0
85,13,0,1,74.0
85,15,1,1,83.0
85,17,1,1,78.0
86,1,0,1,73.0
86,2,3,4,81.0
86,7,1,1,78.0
86,9,0,1,77.0
86,11,1,1,85.0
86,17,0,1,73.0
86,20,0,1,76.0
87,1,0,1,69.0
87,2,2,3,80.67
87,4,1,1,90.0
87,10,1,1,87.0
87,11,1,1,81.0
87,17,1,1,79.0
87,18,1,1,78.0
87,19,0,1,63.0
88,2,4,5,82.2
88,5,0,2,72.5
88,7,1,1,76.0
88,11,1,1,83.0
88,15,1,1,81.0
88,16,1,1,90.0
88,17,1,1,83.0
88,19,1,1,79.0
89,1,1,1,85.0
89,2,4,4,83.25
89,10,1,1,89.0
89,11,0,1,69.0
89,16,1,1,89.0
89,17,1,1,85.0
89,20,1,1,92.0
90,1,1,1,89.0
90,2,3,4,77.5
90,4,0,1,74.0
90,8,1,1,83.0
90,10,0,1,74.0
90,15,1,1,83.0
90,16,2,2,88.5
90,17,2,2,84.0
90,20,0,1,74.0
91,2,4,5,81.2
91,7,0,1,70.0
91,8,0,1,72.0
91,9,1,1,92.0
91,12,0,1,70.0
91,14,1,1,94.0
91,17,2,2,86.5
91,19,1,1,83.0
91,20,0,1,68.0
92,2,4,4,85.25
92,6,0,1,73.0
92,7,1,1,83.0
92,9,0,1,73.0
92,12,1,2,79.5
92,17,1,1,93.0
93,2,2,5,78.4
93,6,1,1,87.0
93,7,1,1,86.0
93,12,1,1,86.0
93,13,1,1,86.0
93,17,1,1,84.0
94,2,4,5,85.0
94,13,2,2,82.5
94,17,2,2,77.0
94,19,1,1,86.0
95,2,3,4,81.25
95,4,1,2,83.0
95,5,1,1,79.0
95,6,1,1,82.0
95,8,0,1,76.0
95,10,1,1,84.0
95,12,1,1,91.0
95,13,0,1,76.0
95,15,1,1,88.0
95,17,0,1,70.0
95,18,0,1,73.0
96,2,5,5,86.8
96,4,0,1,64.0
96,5,0,1,66.0
96,9,1,1,93.0
96,10,1,1,78.0
96,13,1,1,86.0
96,14,1,1,86.0
96,17,1,1,83.0
96,20,1,1,93.0
97,1,0,1,76.0
97,2,2,5,74.6
97,5,1,1,96.0
97,10,1,1,78.0
97,12,0,1,71.0
97,17,1,1,92.0
97,20,0,1,69.0
98,1,1,1,87.0
98,2,2,4,76.0
98,4,0,1,68.0
98,5,1,1,78.0
98,11,0,1,65.0
98,17,1,1,82.0
98,20,1,1,80.0
99,2,2,4,77.0
99,6,1,1,81.0
99,7,1,1,80.0
99,9,0,2,66.0
99,10,0,1,72.0
99,15,1,1,83.0
99,16,1,1,92.0
99,17,0,1,70.0
99,20,1,1,80.0
100,1,1,1,80.0
100,2,1,3,72.67
100,5,2,2,84.5
100,6,1,2,80.0
100,7,1,2,79.0
100,17,1,1,83.0
101,2,1,4,79.25
101,6,0,1,71.0
101,9,1,1,78.0
101,12,0,1,72.0
101,15,0,1,74.0
101,17,1,1,77.0
101,18,1,1,85.0
101,20,0,1,73.0
102,2,2,4,77.0
102,3,0,1,66.0
102,5,0,1,65.0
102,6,1,1,81.0
102,13,0,1,69.0
102,15,0,1,77.0
102,17,1,1,86.0
102,18,1,2,77.0
102,19,1,1,77.0
103,2,1,4,76.75
103,3,0,1,73.0
103,8,1,1,75.0
103,12,1,1,79.0
103,14,0,2,72.5
103,17,0,1,69.0
103,19,0,1,68.0
103,20,1,1,79.0
104,2,4,4,87.75
104,3,0,1,76.0
104,7,0,1,65.0
104,12,1,1,79.0
104,14,0,1,71.0
104,16,0,1,74.0
104,17,0,1,67.0
104,20,1,1,89.0
105,2,1,4,75.75
105,7,1,1,79.0
105,8,1,1,78.0
105,11,1,1,83.0
105,16,2,2,86.0
105,17,1,1,88.0
106,1,2,2,85.0
106,2,3,4,81.5
106,9,0,1,74.0
106,14,2,2,88.0
106,16,1,1,95.0
106,17,1,1,87.0
106,20,1,1,84.0
107,1,0,1,76.0
107,2,4,4,87.0
107,4,1,1,83.0
107,5,1,1,80.0
107,7,0,1,64.0
107,8,1,1,85.0
107,12,1,2,83.5
107,15,1,1,89.0
107,17,1,1,82.0
108,2,2,5,76.2
108,4,0,1,76.0
108,6,1,1,86.0
108,7,1,1,77.0
108,10,1,1,87.0
108,12,1,1,88.0
108,13,1,1,88.0
108,17,0,1,74.0
108,18,1,1,91.0
108,19,1,2,82.5
109,2,4,5,79.0
109,6,1,1,97.0
109,15,1,1,87.0
109,16,2,2,78.5
109,17,1,1,89.0
110,2,2,4,73.0
110,3,2,2,80.0
110,4,2,3,80.33
110,5,0,1,73.0
110,10,1,1,77.0
110,12,1,1,81.0
110,14,0,1,73.0
110,17,1,1,77.0
110,19,1,1,83.0
111,1,2,2,78.0
111,2,3,4,80.25
111,4,1,2,77.0
111,6,1,1,84.0
111,11,0,1,74.0
111,13,3,3,85.0
111,17,0,1,76.0
112,2,3,4,81.25
112,7,1,2,76.0
112,8,0,1,72.0
112,12,0,1,64.0
112,14,0,1,64.0
112,15,1,1,81.0
112,17,0,1,70.0
113,2,3,5,76.6
113,4,2,2,82.5
113,6,1,2,82.5
113,7,0,1,68.0
113,13,1,1,88.0
113,14,1,1,77.0
113,17,1,1,90.0
114,2,4,4,78.75
114,3,2,2,84.0
114,4,0,1,76.0
114,6,1,1,82.0
114,8,2,2,93.0
114,10,1,1,86.0
114,13,0,1,72.0
114,17,0,1,73.0
114,20,1,1,83.0
115,1,1,1,83.0
115,2,3,4,82.0
115,4,0,1,73.0
115,6,1,1,80.0
115,12,1,1,91.0
115,14,0,1,69.0
115,16,1,1,90.0
115,17,1,1,77.0
116,2,2,4,75.75
116,4,1,1,82.0
116,12,1,1,87.0
116,13,0,1,75.0
116,17,0,2,74.5
116,19,1,1,87.0
116,20,0,1,72.0
117,2,2,4,78.5
117,4,1,1,83.0
117,5,0,1,66.0
117,6,0,1,70.0
117,7,1,1,78.0
117,17,0,1,76.0
117,19,1,1,88.0
118,2,2,5,75.0
118,4,1,1,90.0
118,7,0,1,74.0
118,9,2,3,78.67
118,10,0,1,76.0
118,11,1,1,83.0
118,17,1,2,81.0
118,20,0,1,72.0
119,2,3,4,82.75
119,6,1,1,79.0
119,8,0,1,74.0
119,10,0,1,75.0
119,11,1,2,81.5
119,14,0,1,65.0
119,17,1,1,82.0
120,1,1,2,73.5
120,2,2,4,77.5
120,7,0,1,69.0
120,8,1,2,80.5
120,10,1,1,94.0
120,17,1,1,89.0
121,2,1,3,76.67
121,4,1,2,72.0
121,9,1,2,75.5
121,14,1,2,77.5
121,17,1,1,86.0
121,18,1,1,78.0
122,2,3,4,79.75
122,6,0,1,72.0
122,7,1,1,88.0
122,10,1,1,78.0
122,11,2,2,80.0
122,13,0,1,74.0
122,17,1,2,73.0
122,18,1,1,86.0
122,20,1,1,79.0
123,2,3,4,76.75
123,4,2,2,83.5
123,5,0,1,76.0
123,6,1,1,84.0
123,7,0,1,65.0
123,9,1,1,86.0
123,11,2,2,81.0
123,13,1,1,91.0
123,17,1,1,89.0
123,20,0,1,73.0
124,2,2,4,77.75
124,9,1,2,71.5
124,10,0,2,71.5
124,11,0,1,65.0
124,12,1,1,81.0
124,17,1,1,84.0
125,1,1,1,80.0
125,2,3,4,78.5
125,3,0,1,74.0
125,8,1,1,91.0
125,10,1,1,89.0
125,11,1,1,90.0
125,13,1,1,82.0
125,14,1,1,79.0
125,17,0,1,76.0
125,18,1,1,80.0
126,1,1,1,87.0
126,2,2,4,77.0
126,4,1,1,88.0
126,6,0,1,73.0
126,14,1,1,86.0
126,17,0,1,75.0
126,18,1,2,74.5
127,2,5,5,88.2
127,3,1,1,91.0
127,5,1,2,72.5
127,12,0,1,70.0
127,13,0,1,76.0
127,17,1,2,76.0
128,2,4,4,82.25
128,4,1,1,88.0
128,7,1,1,79.0
128,9,0,1,70.0
128,11,1,1,82.0
128,12,1,1,82.0
128,17,1,1,94.0
128,20,1,1,89.0
129,1,1,1,77.0
129,2,4,5,77.6
129,8,1,1,84.0
129,9,1,1,91.0
129,12,2,2,80.5
129,16,0,1,69.0
129,17,0,2,71.0
129,19,1,2,81.5
130,2,2,4,78.0
130,3,1,1,87.0
130,11,1,1,83.0
130,12,1,1,82.0
130,14,1,1,79.0
130,15,1,1,90.0
130,16,0,1,76.0
130,17,1,2,78.0
131,2,3,5,79.8
131,4,1,1,88.0
131,8,0,1,67.0
131,15,0,1,68.0
131,16,1,1,78.0
131,17,1,1,91.0
132,2,2,3,85.0
132,5,0,1,76.0
132,7,1,1,78.0
132,9,0,2,66.5
132,11,0,1,65.0
132,13,1,1,87.0
132,17,1,1,90.0
132,18,1,1,82.0
132,20,0,1,74.0
133,1,1,1,81.0
133,2,3,4,80.25
133,6,1,1,88.0
133,8,2,2,83.5
133,9,0,1,75.0
133,14,2,2,88.5
133,17,2,2,78.5
133,20,0,2,74.5
134,2,3,4,77.0
134,3,1,1,86.0
134,5,1,1,76.0
134,6,0,1,67.0
134,7,1,2,73.5
134,10,1,1,77.0
134,14,2,2,79.0
134,17,1,1,85.0
134,19,1,1,83.0
134,20,0,1,76.0
135,1,1,1,78.0
135,2,3,4,78.25
135,6,0,1,69.0
135,7,1,1,82.0
135,8,1,1,85.0
135,15,1,1,82.0
135,17,1,1,90.0
135,18,1,1,92.0
135,19,1,1,88.0
135,20,1,1,86.0
136,1,0,1,76.0
136,2,5,5,85.2
136,5,2,2,87.0
136,8,1,1,76.0
136,10,0,1,74.0
136,11,1,1,76.0
136,13,1,1,87.0
136,15,1,1,78.0
136,17,1,1,80.0
136,19,1,1,79.0
137,1,0,1,77.0
137,2,2,4,77.0
137,10,1,1,79.0
137,16,1,1,95.0
137,17,2,2,78.5
137,18,0,1,74.0
137,19,1,1,77.0
138,2,2,4,73.5
138,3,1,1,87.0
138,5,1,1,83.0
138,9,1,3,76.33
138,13,1,1,76.0
138,15,0,1,65.0
138,16,1,2,83.0
138,17,1,1,85.0
138,19,1,1,80.0
139,1,1,1,92.0
139,2,3,4,82.5
139,3,1,2,70.5
139,6,0,1,70.0
139,7,1,1,81.0
139,11,1,1,81.0
139,17,0,1,64.0
139,19,1,1,92.0
139,20,1,1,77.0
140,2,3,4,82.25
140,5,1,1,78.0
140,6,1,1,78.0
140,7,1,1,81.0
140,8,1,1,83.0
140,10,1,1,84.0
140,12,1,1,76.0
140,17,2,2,84.5
141,2,3,4,79.0
141,6,1,1,82.0
141,10,0,1,70.0
141,12,1,1,78.0
141,13,1,1,95.0
141,15,2,2,91.5
142,2,2,4,81.25
142,3,1,1,77.0
142,6,0,1,71.0
142,8,0,1,74.0
142,9,0,1,76.0
142,13,1,1,93.0
142,14,1,2,84.0
142,17,2,2,86.0
142,18,1,1,78.0
142,20,1,1,81.0
143,2,4,4,83.75
143,3,0,1,72.0
143,6,1,2,79.5
143,7,0,1,74.0
143,11,2,2,87.5
143,17,2,2,83.0
143,19,1,2,80.5
144,2,4,4,83.5
144,3,0,1,69.0
144,5,1,1,87.0
144,9,1,1,84.0
144,10,1,1,79.0
144,17,0,1,73.0
144,20,0,1,68.0
145,2,4,4,85.25
145,7,1,1,80.0
145,9,1,1,84.0
145,10,1,1,87.0
145,11,2,2,81.5
145,18,0,1,71.0
146,1,0,1,72.0
146,2,3,4,81.25
146,4,1,1,84.0
146,6,1,1,93.0
146,9,1,1,89.0
146,10,0,1,70.0
146,12,1,1,79.0
146,13,0,1,69.0
146,17,1,3,73.0
147,2,2,4,76.75
147,4,0,1,67.0
147,5,1,1,85.0
147,8,1,1,77.0
147,14,1,1,83.0
147,17,1,2,78.0
147,18,0,1,76.0
147,19,1,1,80.0
148,2,3,4,81.25
148,3,1,1,79.0
148,5,1,1,91.0
148,7,0,2,73.5
148,8,0,1,72.0
148,9,1,1,85.0
148,10,0,1,75.0
148,12,1,1,90.0
